주소,CCTV 설치 여부,CCTV 설치 개수,위도,경도
대구광역시 남구 대명남로 140,Y,5,35.83497147,128.5737033
대구광역시 남구 대명로 100,Y,5,35.83886877,128.5688886
대구광역시 남구 대명로 110,Y,1,35.838824,128.568797
대구광역시 남구 대명로 250,Y,5,35.84196926,128.5841748
대구광역시 남구 대명로 49길 9-5(대명동),Y,3,35.84228388,128.5824945
대구광역시 남구 대명서 2길 45(대명동),Y,4,35.83199279,128.5626801
대구광역시 남구 대명서로 28(대명동),Y,11,35.8304316,128.561677
대구광역시 남구 대명서로 47-2(대명동),Y,1,35.8307903,128.560361
대구광역시 남구 대봉로 26길 33(이천동),Y,8,35.85166437,128.6048051
대구광역시 남구 대봉로30길 36-8(이천동),N,0,35.8517054,128.605141
대구광역시 남구 대봉로30길 40(이천동),Y,1,35.852175,128.605318
대구광역시 남구 대봉로30길36-8,Y,1,35.85170781,128.6051265
대구광역시 남구 대봉로30길40,Y,1,35.85214855,128.605307
대구광역시 남구 두류공원로 13길 27-5(대명동),Y,7,35.84257212,128.569401
대구광역시 남구 두류공원로 64(대명동),Y,1,35.84301506,128.5712945
대구광역시 남구 명덕로 20길 24(대명동),Y,5,35.85645873,128.5793986
대구광역시 남구 삼정2길 36,Y,4,35.83858034,128.5948414
대구광역시 남구 성당로 30길 55(대명동),Y,15,35.84515216,128.5708254
대구광역시 남구 성당로 50길 34,Y,1,35.854925,128.5759928
대구광역시 남구 성당로50길 33(대명동),Y,10,35.85594776,128.575077
대구광역시 남구 안지랑로 17길 91,Y,1,35.836934,128.566393
대구광역시 남구 앞산순환로 467,Y,3,35.83248149,128.5760583
대구광역시 남구 앞산순환로 707,Y,6,35.83464799,128.6010893
대구광역시 남구 앞산순환로 93길 33,Y,7,35.83304211,128.5739489
대구광역시 남구 양지로 3길 59-3(대명동),Y,1,35.853726,128.575339
대구광역시 남구 영선길96(이천동),Y,9,35.85290101,128.5960142
대구광역시 남구 이천로 28길 42-33(이천동),Y,4,35.85359762,128.6000087
대구광역시 남구 자유 5길 16(대명동),Y,3,35.83750833,128.5840424
대구광역시 남구 장전 1길 92,Y,5,35.84023286,128.5760702
대구광역시 남구 장전 3길 132(대명동),Y,4,35.84234083,128.5781777
대구광역시 남구 중앙대로 126,Y,2,35.84435136,128.5910004
대구광역시 남구 중앙대로 40길 10,Y,1,35.849994,128.591251
대구광역시 남구 중앙대로 40길 10-1,Y,2,35.84992534,128.5912659
대구광역시 남구 중앙대로47길 55,Y,11,35.85355805,128.5864853
대구광역시 남구 큰골4길 41,Y,8,35.8343637,128.5819826
대구광역시 남구 현충동길 74(대명동),Y,9,35.84427387,128.5813642
대구광역시 남구 현충로 39길 74(대명동),Y,5,35.85011603,128.5769832
대구광역시 남구 현충로48길 31-8,Y,2,35.85321709,128.5854639
대구광역시 남구 현충로48길 32(대명2동),Y,1,35.852973,128.585315
대구광역시 남구 효동2길 16,Y,2,35.83768718,128.600747
대구광역시 남구 효동길 14-4,Y,9,35.83962775,128.5996262
대구광역시 남구 효동길 85,Y,1,35.836393,128.601056
대구광역시 남구 효동길 91,Y,5,35.83634242,128.6010992
대구광역시 남구 효성로 37(봉덕동),Y,1,35.83641018,128.596817
대구광역시 남구 효성로 71(봉덕동),Y,10,35.83968058,128.5968435
대구광역시 남구 희망로 5길 19(이천동),Y,4,35.84884861,128.600145
대구광역시 달서구 감삼길 99,N,0,35.849975,128.543323
대구광역시 달서구 감삼남2길 108,Y,2,35.845336,128.5424081
대구광역시 달서구 감삼남길 144,Y,1,35.84950978,128.5447406
대구광역시 달서구 감삼남길 49,Y,2,35.848037,128.539862
대구광역시 달서구 계대동문로 99,Y,2,35.85566195,128.5041217
대구광역시 달서구 계대동문로3길 41,Y,1,35.8576522,128.4940425
대구광역시 달서구 계대동문로3길 46,Y,10,35.85799273,128.4947454
대구광역시 달서구 구마로12길 39,Y,1,35.83539805,128.5340399
대구광역시 달서구 구마로12길 60,Y,4,35.83526704,128.5330982
대구광역시 달서구 구마로36길 20,Y,1,35.83583035,128.546119
대구광역시 달서구 구마로39길 83-16(성당동),Y,1,35.84121589,128.5470859
대구광역시 달서구 달구벌대로 1337,Y,1,35.85117931,128.5136534
대구광역시 달서구 달구벌대로 1339,Y,4,35.85196007,128.5144445
대구광역시 달서구 달구벌대로 1429-11,Y,7,35.85035905,128.5232345
대구광역시 달서구 달구벌대로 1429-3,Y,1,35.84975763,128.5235084
대구광역시 달서구 달구벌대로283길 26,Y,2,35.851754,128.522796
대구광역시 달서구 달구벌대로291길 47-13,Y,1,35.85074485,128.5244781
대구광역시 달서구 달구벌대로291길 49,Y,1,35.85091363,128.5250438
대구광역시 달서구 달구벌대로291길 71-23,Y,1,35.85181168,128.5237323
대구광역시 달서구 달구벌대로301길 134(용산동),Y,1,35.8557332,128.5317519
대구광역시 달서구 달구벌대로301길 58,Y,2,35.852352,128.532154
대구광역시 달서구 달구벌대로304길 112,Y,6,35.84478358,128.5317635
대구광역시 달서구 달구벌대로304길 60,Y,1,35.846991,128.532084
대구광역시 달서구 달서대로 109안길 74(호산동),Y,1,35.84995724,128.4823923
대구광역시 달서구 달서대로 27,Y,1,35.81200047,128.5131679
대구광역시 달서구 달서대로 39,Y,3,35.81257233,128.5118585
대구광역시 달서구 달서대로109길 116,Y,7,35.84907047,128.4790049
대구광역시 달서구 달서대로109안길 76,Y,3,35.850563,128.481504
대구광역시 달서구 당산동길 101(성당동),Y,1,35.84526662,128.5501974
대구광역시 달서구 당산로 12,Y,2,35.8385119,128.545108
대구광역시 달서구 당산로 123,Y,4,35.84917929,128.5451437
대구광역시 달서구 당산로 137,Y,1,35.84946572,128.5465006
대구광역시 달서구 당산로21안길 49,Y,2,35.84509751,128.5438504
대구광역시 달서구 당산로24길 104(성당동),Y,1,35.8461474,128.5507509
대구광역시 달서구 당산로30길 42-7,Y,2,35.84727082,128.5514561
대구광역시 달서구 당산로45길 95,N,0,35.85541593,128.5422125
대구광역시 달서구 대명천로 101,Y,2,35.83903418,128.5471926
대구광역시 달서구 대명천로 118,Y,4,35.840575,128.5472918
대구광역시 달서구 대명천로18길 26(성당동),N,0,35.84035844,128.5510464
대구광역시 달서구 대명천로21길 10,Y,2,35.83899694,128.5492889
대구광역시 달서구 대명천로43길 66,Y,7,35.83856708,128.534496
대구광역시 달서구 대명천로8길 10,Y,2,35.83923761,128.5558724
대구광역시 달서구 도원남로 100-30,Y,3,35.80470809,128.5421312
대구광역시 달서구 도원남로 18,Y,1,35.80571999,128.5313732
대구광역시 달서구 도원남로 19,Y,4,35.805964,128.532385
대구광역시 달서구 도원남로 40,Y,1,35.80265713,128.5345206
